CA,3091.87,1
TX,1759.73,2
NY,1699.04,3
FL,1095.89,4
IL,863.52,5
PA,780.18,6
OH,675.04,7
GA,619.24,8
NJ,619.06,9
WA,618.7,10
NC,586.14,11
MA,584.04,12
VA,551.76,13
MI,515.93,14
MD,422.73,15
CO,390.1,16
MN,374.35,17
IN,372.64,18
AZ,372.46,19
TN,364.49,20
WI,338.68,21
MO,321.71,22
CT,280.9,23
OR,250.46,24
LA,241.99,25
SC,241.69,26
AL,224.87,27
KY,210.02,28
UT,194.99,29
IA,192.71,30
OK,186.58,31
KS,173.3,32
NV,172.6,33
DC,132.53,34
AR,129.07,35
NE,128.81,36
MS,114.2,37
NM,100.31,38
HI,89.86,39
NH,85.11,40
ID,84.03,41
DE,75.51,42
WV,73.71,43
ME,66.2,44
RI,60.22,45
SD,54.85,46
ND,54.03,47
MT,51.49,48
AK,50.25,49
WY,36.24,50
VT,32.8,51